"","genes","estimate","p","p.adj"
"1","1-Mar",-0.373555109473149,0.209,0.799799752781211
"2","10-Sep",0.359850482703443,0.498,0.878264136996427
"3","11-Sep",-0.698807765364077,0.163,0.794227212681638
"4","2-Mar",-0.309227333151256,0.595,0.907460579586618
"5","2-Sep",1.23823799815399,0.104,0.78961743772242
"6","3-Mar",1.68280077006391,0.0178,0.730920038535645
"7","3-Sep",-0.434708133747036,0.678,0.930488703810071
"8","5-Mar",-0.767123597520507,0.152,0.792093192573717
"9","5-Sep",1.03595268745835,0.103,0.78961743772242
"10","6-Mar",1.01682267724329,0.218,0.799799752781211
"11","6-Sep",0.62928668898022,0.468,0.872120682964688
"12","7-Mar",-0.115615474500894,0.884,0.975797196333667
"13","7-Sep",0.230274721737937,0.699,0.936407812353986
"14","8-Mar",-0.524908884066221,0.414,0.852083333333333
"15","8-Sep",0.331289112253392,0.495,0.877873392680514
"16","9-Mar",0.659382880044318,0.252,0.819672801635992
"17","9-Sep",0.887828496794714,0.178,0.797609970674487
"18","A1BG",0.61075701970619,0.523,0.887370510845087
"19","A2M",0.923400351743353,0.321,0.829708429051069
"20","A2ML1",-1.5840566416649,0.169,0.795539296284117
"21","A4GALT",-0.611029290162269,0.333,0.831370196487567
"22","AAAS",-0.654740696239422,0.214,0.799799752781211
"23","AACS",-0.474681429951578,0.177,0.797530689329556
"24","AADAT",-0.942350866597775,0.0599,0.774334519572954
"25","AAED1",-0.072147968950323,0.931,0.985088698351689
"26","AAGAB",0.606681062348473,0.125,0.790011037527594
"27","AAK1",-0.0632126490095981,0.856,0.969817174515236
"28","AAMDC",0.606824531401736,0.44,0.860582046727695
"29","AAMP",0.504676497280691,0.132,0.79117538688283
"30","AAR2",0.61138171260067,0.365,0.838849452120057
"31","AARD",0.0783078894639863,0.791,0.953295407010792
"32","AARS",0.375817197152693,0.427,0.857534371492705
"33","AARS2",0.405874531211523,0.561,0.89959840932004
"34","AARSD1",-0.309530696016927,0.587,0.904944819457838
"35","AASDH",-0.700417039341347,0.289,0.827964478333643
"36","AASDHPPT",-1.09629336976925,0.124,0.78961743772242
"37","AASS",0.805652741901072,0.224,0.799799752781211
"38","AATF",-0.973571173977902,0.327,0.829708429051069
"39","AATK",0.751990415113863,0.23,0.801472736124635
"40","ABAT",1.5929197296852,0.0414,0.765429305912596
"41","ABCA1",-1.21871933847666,0.24,0.807236842105263
"42","ABCA10",-0.273250409795767,0.631,0.917813509693053
"43","ABCA12",-0.361452194069931,0.426,0.856246840775063
"44","ABCA13",0.687206632509204,0.364,0.838849452120057
"45","ABCA2",1.00893695747758,0.298,0.827964478333643
"46","ABCA3",-0.21850458640888,0.775,0.94959556620731
"47","ABCA4",-1.90226168885823,0.107,0.78961743772242
"48","ABCA5",-0.752003459982241,0.268,0.823619579218549
"49","ABCA6",-0.11738450281876,0.812,0.957473879062114
"50","ABCA7",0.594139964526011,0.215,0.799799752781211
"51","ABCB10",-1.07989570232404,0.132,0.79117538688283
"52","ABCB6",0.336474753136207,0.464,0.869848088004191
"53","ABCB7",1.09229876682122,0.172,0.79579185520362
"54","ABCB8",0.0547798342130469,0.909,0.980331878386514
"55","ABCB9",0.251425213059258,0.626,0.917721583392694
"56","ABCC1",-0.649011537675729,0.277,0.825639367816092
"57","ABCC10",-0.062233848730802,0.913,0.98075904247336
"58","ABCC11",-0.508722917169925,0.451,0.866182061579652
"59","ABCC2",-1.29125596321653,0.317,0.828913595933926
"60","ABCC3",0.0910784830229355,0.871,0.971283399548181
"61","ABCC4",-0.863008085960536,0.249,0.814728
"62","ABCC5",-0.455826507304483,0.171,0.79579185520362
"63","ABCC6",0.661710464373494,0.347,0.835121889710827
"64","ABCC9",-0.710430489503421,0.502,0.878960571289062
"65","ABCD1",0.737683513516993,0.258,0.820705622932745
"66","ABCD3",0.500384939368196,0.133,0.79117538688283
"67","ABCD4",-0.361549908937682,0.601,0.910211066440965
"68","ABCE1",-0.835978015785302,0.248,0.813501374885426
"69","ABCF1",0.351050635446746,0.749,0.94574711122872
"70","ABCF2",-0.984973342401751,0.0374,0.765429305912596
"71","ABCF3",-0.879023836088543,0.137,0.79117538688283
"72","ABCG1",0.00475452490040656,0.995,0.998137701471619
"73","ABCG2",0.130500791795452,0.912,0.98075904247336
"74","ABHD1",0.614827408721399,0.317,0.828913595933926
"75","ABHD10",-0.447679243356763,0.297,0.827964478333643
"76","ABHD11",-0.602702175455924,0.305,0.827964478333643
"77","ABHD12",-1.04393331206497,0.265,0.823483996539792
"78","ABHD13",-1.69178412472006,0.0153,0.730920038535645
"79","ABHD14A",1.20702756145185,0.207,0.799799752781211
"80","ABHD14B",0.288146693402936,0.613,0.913977189876054
"81","ABHD15",0.014052418898253,0.986,0.996863479059256
"82","ABHD16A",0.146272159632071,0.853,0.968180700919759
"83","ABHD16B",1.19852725939525,0.121,0.78961743772242
"84","ABHD17A",0.874980729312392,0.117,0.78961743772242
"85","ABHD17B",-0.0874563696512069,0.884,0.975797196333667
"86","ABHD17C",-0.773210562049924,0.538,0.894479674796748
"87","ABHD18",-0.62997626398089,0.329,0.830254950061328
"88","ABHD2",0.847723409830847,0.147,0.79117538688283
"89","ABHD3",-0.2842543698378,0.634,0.917813509693053
"90","ABHD4",0.211847988115234,0.844,0.966239603326935
"91","ABHD5",0.0757683086816371,0.834,0.962954508791741
"92","ABHD6",-0.246365457106039,0.722,0.939072324186807
"93","ABHD8",0.005094938635268,0.991,0.997480312192378
"94","ABI1",-0.575148475797607,0.229,0.800521367521368
"95","ABI2",-0.471843377636034,0.222,0.799799752781211
"96","ABL1",0.351723904692161,0.491,0.877873392680514
"97","ABL2",-0.713937968855582,0.339,0.833907099184783
"98","ABLIM1",-0.50785440597422,0.165,0.794227212681638
"99","ABLIM2",-0.583167134937466,0.455,0.868096094895375
"100","ABLIM3",0.808901561641547,0.159,0.794227212681638
"101","ABR",-0.817456757097685,0.328,0.829708429051069
"102","ABRACL",-0.0867154919238485,0.907,0.980050196256039
"103","ABRAXAS1",-1.33436459551239,0.0199,0.730920038535645
"104","ABRAXAS2",-0.798263953012781,0.371,0.839007405073263
"105","ABT1",-0.613429934301489,0.462,0.869629191321499
"106","ABTB1",-0.6985711010895,0.271,0.823994265080714
"107","ABTB2",0.989525666884332,0.173,0.796283185840708
"108","ACAA1",1.2435853108335,0.0433,0.767252306273063
"109","ACAA2",-0.147546438540652,0.689,0.933911087965155
"110","ACACA",-0.69045171164675,0.362,0.838849452120057
"111","ACACB",0.371433447905003,0.212,0.799799752781211
"112","ACAD10",-0.585277062283884,0.323,0.829708429051069
"113","ACAD11",-0.289059261795747,0.471,0.872120682964688
"114","ACAD8",1.07431436146794,0.207,0.799799752781211
"115","ACAD9",-0.509738243882239,0.482,0.875612944162437
"116","ACADL",-0.442788737286511,0.484,0.876281080398839
"117","ACADM",-0.523622494382929,0.375,0.839446168166305
"118","ACADS",-0.490753350715946,0.312,0.828777138615699
"119","ACADSB",-0.86258533405732,0.291,0.827964478333643
"120","ACADVL",-0.347529203935237,0.157,0.794227212681638
"121","ACAP2",0.537439037643485,0.254,0.820029318899414
"122","ACAP3",0.458773999094414,0.445,0.863469028942386
"123","ACAT1",-0.216758323464614,0.802,0.954333333333333
"124","ACAT2",0.373538924150502,0.539,0.8946875
"125","ACBD3",0.329045278091626,0.708,0.938623416258208
"126","ACBD4",0.977829606941695,0.137,0.79117538688283
"127","ACBD5",-0.319881353162734,0.0811,0.78961743772242
"128","ACBD6",-0.458642921829934,0.475,0.873763171421229
"129","ACBD7",0.858824006880283,0.0489,0.767252306273063
"130","ACCS",-0.247014503746977,0.721,0.938880651323569
"131","ACD",0.368652856817893,0.266,0.823483996539792
"132","ACE",-1.04864189786498,0.225,0.799799752781211
"133","ACE2",0.164271821560026,0.771,0.94959556620731
"134","ACER2",-0.513592320691747,0.549,0.896524640657084
"135","ACER3",0.970189348058116,0.127,0.79117538688283
"136","ACHE",0.0203928194808508,0.971,0.995692335243553
"137","ACIN1",0.159702624238081,0.826,0.962333360462277
"138","ACKR2",-0.0911829983601743,0.903,0.979424534020306
"139","ACKR3",-0.677323386873579,0.319,0.828913595933926
"140","ACKR4",-1.21823733418607,0.193,0.797992036405006
"141","ACLY",-0.400723336749493,0.696,0.936357417299222
"142","ACO1",0.186609109221242,0.748,0.94574711122872
"143","ACO2",0.0341333675292473,0.965,0.994511459156549
"144","ACOT1",-0.32738583855698,0.717,0.938880651323569
"145","ACOT11",-0.932971897405387,0.156,0.794227212681638
"146","ACOT13",-0.935855830559562,0.4,0.847529159899601
"147","ACOT2",0.930818775917503,0.251,0.817906897336672
"148","ACOT4",1.48920481630681,0.149,0.79117538688283
"149","ACOT7",-0.238313586046401,0.744,0.945270258276382
"150","ACOT8",0.511636819652824,0.555,0.897816130851664
"151","ACOT9",0.309510415206067,0.522,0.887370510845087
"152","ACOX1",-0.153143905966296,0.834,0.962954508791741
"153","ACOX2",0.659134348965693,0.285,0.827964478333643
"154","ACOX3",0.566868500437865,0.424,0.855590639977446
"155","ACP1",-0.798515784115424,0.487,0.877126950176145
"156","ACP2",-0.21057824844816,0.758,0.948162355819643
"157","ACP5",0.233897336919317,0.654,0.922820108427797
"158","ACP6",-0.614735422524597,0.424,0.855590639977446
"159","ACPP",-0.238938507866166,0.592,0.905683445548787
"160","ACR",0.668487369921286,0.517,0.885693513642891
"161","ACRBP",-0.93912408783204,0.0122,0.730920038535645
"162","ACSF2",-0.826237637752728,0.11,0.78961743772242
"163","ACSF3",0.473577292814231,0.471,0.872120682964688
"164","ACSL1",0.112330080567098,0.882,0.975344148319815
"165","ACSL3",0.396068894541186,0.217,0.799799752781211
"166","ACSL4",1.19570816261292,0.119,0.78961743772242
"167","ACSL5",-0.245858131870809,0.43,0.857984285912947
"168","ACSL6",-0.651951045479136,0.538,0.894479674796748
"169","ACSM1",-0.0838466759184316,0.934,0.985716177444273
"170","ACSM3",0.820259804587511,0.323,0.829708429051069
"171","ACSS1",-0.217494672107457,0.777,0.950744080690657
"172","ACSS2",0.456765252478985,0.471,0.872120682964688
"173","ACTA1",1.14289331350975,0.062,0.778425131348511
"174","ACTA2",1.17292503154862,0.138,0.79117538688283
"175","ACTB",1.52087636072636,0.000145,0.730920038535645
"176","ACTG1",1.10557008006667,0.114,0.78961743772242
"177","ACTG2",1.08822642525269,0.227,0.799955882352941
"178","ACTL10",0.28669070333989,0.444,0.863450618122538
"179","ACTL6A",-0.827587590501762,0.181,0.797609970674487
"180","ACTL8",-0.855397285144787,0.45,0.866175877369907
"181","ACTN1",0.953446410443277,0.111,0.78961743772242
"182","ACTN2",0.804036373827446,0.272,0.824123787431464
"183","ACTN4",1.08988554503488,0.0498,0.767252306273063
"184","ACTR10",0.177618665023331,0.751,0.945852982579623
"185","ACTR1A",-0.0633140212728694,0.934,0.985716177444273
"186","ACTR1B",0.0137580828248719,0.986,0.996863479059256
"187","ACTR2",0.0619654705483444,0.896,0.978355453852021
"188","ACTR3",0.735895018032881,0.21,0.799799752781211
"189","ACTR3B",-0.0399669549378805,0.942,0.987385955920041
"190","ACTR3C",-0.211009944070829,0.749,0.94574711122872
"191","ACTR5",-0.284734264751058,0.605,0.911036546943919
"192","ACTR6",-0.58058170470284,0.326,0.829708429051069
"193","ACTR8",-0.463738472152469,0.361,0.838849452120057
"194","ACTRT3",-0.591083943674096,0.271,0.823994265080714
"195","ACVR1",-0.163948273593173,0.656,0.923457567115744
"196","ACVR1B",-0.617643764867147,0.409,0.850128502976623
"197","ACVR1C",-0.560389421674438,0.65,0.921493622070602
"198","ACVR2A",-0.662622214234601,0.277,0.825639367816092
"199","ACVR2B",-0.959131416136319,0.049,0.767252306273063
"200","ACY1",0.230476974153543,0.499,0.878836737204724
"201","ACY3",-0.244827014973253,0.606,0.911036546943919
"202","ACYP1",0.498485967828515,0.13,0.79117538688283
"203","ACYP2",1.01034041031379,0.279,0.825639367816092
"204","ADA",-0.522886292710525,0.345,0.834517573504562
"205","ADA2",1.13414424842722,0.115,0.78961743772242
"206","ADAL",0.665285574203944,0.296,0.827964478333643
"207","ADAM10",-1.4809307329189,0.0324,0.74319089456869
"208","ADAM11",0.284701996095227,0.57,0.900186018437226
"209","ADAM12",-0.242084527370358,0.748,0.94574711122872
"210","ADAM15",-0.0967543567816683,0.472,0.872279886392977
"211","ADAM17",-0.64648440016048,0.384,0.84193085106383
"212","ADAM19",-0.54879395816732,0.358,0.838849452120057
"213","ADAM21",-1.37678795836073,0.123,0.78961743772242
"214","ADAM22",-0.943136961659958,0.0806,0.78961743772242
"215","ADAM23",-1.49247434017761,0.119,0.78961743772242
"216","ADAM28",-0.577941989198341,0.529,0.888911257189811
"217","ADAM32",-0.346718672047358,0.599,0.910044500953592
"218","ADAM8",-1.20057761627806,0.304,0.827964478333643
"219","ADAM9",0.255037798460768,0.638,0.918625025145846
"220","ADAMTS1",-0.0835378196066289,0.933,0.985716177444273
"221","ADAMTS12",-0.25692798793542,0.772,0.94959556620731
"222","ADAMTS13",-0.345847147355428,0.158,0.794227212681638
"223","ADAMTS14",-0.365372471691065,0.714,0.938880651323569
"224","ADAMTS16",0.479391590970287,0.56,0.89959840932004
"225","ADAMTS17",0.052868612454106,0.948,0.989184342882134
"226","ADAMTS18",0.916414350870724,0.355,0.837755522584899
"227","ADAMTS3",0.0999975380652326,0.906,0.979931242916509
"228","ADAMTS4",0.453670680725443,0.365,0.838849452120057
"229","ADAMTS5",-2.59650221054028,0.146,0.79117538688283
"230","ADAMTS6",-0.344732149772893,0.674,0.929330572144096
"231","ADAMTS7",-0.137351097049318,0.788,0.952801756905144
"232","ADAMTS9",-0.0622456357795282,0.924,0.983570791195717
"233","ADAMTSL1",-0.139096632565978,0.698,0.936357417299222
"234","ADAMTSL2",0.108169511460399,0.79,0.953295407010792
"235","ADAMTSL3",0.0394750916310194,0.967,0.994511459156549
"236","ADAMTSL4",-0.0773688114865452,0.912,0.98075904247336
"237","ADAP1",-0.0626057418696853,0.954,0.990463446475196
"238","ADAR",-0.539215938006558,0.544,0.894790302194646
"239","ADARB1",0.449419124652157,0.54,0.894790302194646
"240","ADAT1",0.168437224383396,0.725,0.939814814814815
"241","ADAT2",-0.856470020843014,0.134,0.79117538688283
"242","ADAT3",0.47976723865502,0.555,0.897816130851664
"243","ADCK1",1.22229739067469,0.051,0.767252306273063
"244","ADCK2",-0.288659398248197,0.628,0.917721583392694
"245","ADCK5",-0.266999053079415,0.655,0.923457567115744
"246","ADCY1",-0.518646135213116,0.346,0.835121889710827
"247","ADCY10",-0.548480608946351,0.473,0.873000902527076
"248","ADCY2",0.280001198918096,0.486,0.876759924385633
"249","ADCY3",-0.621213078366307,0.612,0.913532846715328
"250","ADCY6",-1.44733166256163,0.00982,0.730920038535645
"251","ADCY7",-1.05188431270281,0.0282,0.736338409475465
"252","ADCY9",0.75900275860651,0.302,0.827964478333643
"253","ADCYAP1",0.300325959795703,0.665,0.927010906612134
"254","ADD1",0.544604924362833,0.425,0.856039819895877
"255","ADD2",-0.352911464221578,0.721,0.938880651323569
"256","ADD3",-0.0242996877719326,0.976,0.99646530204693
"257","ADGRA2",-0.00099311399839197,0.997,0.998464740450539
"258","ADGRA3",-0.610989603730298,0.115,0.78961743772242
"259","ADGRB1",-0.392048813779116,0.0647,0.778535087719298
"260","ADGRB2",0.729287461124819,0.238,0.807236842105263
"261","ADGRE2",-0.922768534709397,0.372,0.839007405073263
"262","ADGRE5",-0.499691706281585,0.225,0.799799752781211
"263","ADGRF1",0.423878693669357,0.65,0.921493622070602
"264","ADGRF3",-0.265428176203546,0.698,0.936357417299222
"265","ADGRF4",-0.393788683133449,0.724,0.939539479648264
"266","ADGRF5",0.339509975917773,0.651,0.921493622070602
"267","ADGRG1",0.393895844974105,0.118,0.78961743772242
"268","ADGRG2",0.19220139436716,0.702,0.93715657931549
"269","ADGRG6",-0.810498098173525,0.26,0.820705622932745
"270","ADGRL1",-0.0926661752204312,0.936,0.985716177444273
"271","ADGRL2",-0.43729697315554,0.198,0.798775426058274
"272","ADGRL3",0.17076023004143,0.822,0.960801012492855
"273","ADGRV1",0.462358629058597,0.646,0.920748086290884
"274","ADH5",0.078518291314336,0.901,0.979230244198392
"275","ADHFE1",-0.450572459550089,0.302,0.827964478333643
"276","ADI1",-0.177494093091209,0.83,0.962954508791741
"277","ADIPOR1",-0.389030544036728,0.782,0.952546800544588
"278","ADIPOR2",-1.10809597881394,0.266,0.823483996539792
"279","ADIRF",-1.09511159180717,0.193,0.797992036405006
"280","ADK",0.506739372810734,0.485,0.876281080398839
"281","ADM",0.0410318673376087,0.92,0.981941544885177
"282","ADM2",-0.573323680193159,0.245,0.812222093561834
"283","ADM5",-0.169341081766465,0.902,0.979230244198392
"284","ADNP",-2.11878200527274,0.0509,0.767252306273063
"285","ADNP2",0.666330019632608,0.496,0.877873392680514
"286","ADO",-0.638738973013392,0.405,0.84958601992966
"287","ADORA1",0.660461172792959,0.156,0.794227212681638
"288","ADORA2A",1.36174257850365,0.00406,0.730920038535645
"289","ADORA2B",0.231387084839115,0.718,0.938880651323569
"290","ADPGK",-0.523157402238383,0.525,0.88813223824155
"291","ADPRH",-0.377589933367572,0.564,0.900154427285857
"292","ADPRHL1",-0.695252830273038,0.141,0.79117538688283
"293","ADPRHL2",0.415490414579224,0.497,0.877906589338598
"294","ADPRM",-0.766165483068122,0.22,0.799799752781211
"295","ADRA1A",0.42570204982903,0.676,0.929759800153728
"296","ADRA1B",1.63994144535336,0.0277,0.736338409475465
"297","ADRA2A",-0.019079354475175,0.989,0.99707972392422
"298","ADRA2B",-0.0577810043961951,0.918,0.981825882528547
"299","ADRB1",-0.373084548875053,0.741,0.944560552092609
"300","ADRB2",-0.571425936799574,0.24,0.807236842105263
"301","ADRM1",1.45646596185385,0.0743,0.782787103746398
"302","ADSL",-0.275664774801015,0.514,0.884045416316232
"303","ADSS",-1.10416080886587,0.269,0.823862858365426
"304","ADSSL1",0.91812490116949,0.108,0.78961743772242
"305","ADTRP",-1.29497893273245,0.28,0.825639367816092
"306","AEBP1",0.715799518521597,0.154,0.794131844380403
"307","AEBP2",-1.18246022203794,0.0581,0.767252306273063
"308","AEN",0.158095708360877,0.795,0.953295407010792
"309","AES",-0.991811906740259,0.226,0.799799752781211
"310","AFAP1",-0.442691102489377,0.521,0.887237092552938
"311","AFAP1L1",0.808145683024596,0.122,0.78961743772242
"312","AFAP1L2",0.0399529743991621,0.899,0.978989361702128
"313","AFDN",-0.0456819838059599,0.92,0.981941544885177
"314","AFF1",-0.641431516584213,0.0482,0.767252306273063
"315","AFF2",-0.8448940226425,0.41,0.850971436856604
"316","AFF3",0.327261435036118,0.474,0.873607570490537
"317","AFF4",0.21387810912772,0.69,0.934558614816917
"318","AFG1L",-0.436653694005648,0.411,0.851072616808911
"319","AFG3L2",-0.849246302141485,0.457,0.869016339001063
"320","AFMID",-0.473539224848135,0.597,0.908864724024248
"321","AFTPH",-0.740673564026615,0.171,0.79579185520362
"322","AGA",0.588074383977538,0.469,0.872120682964688
"323","AGAP1",-0.557272658022561,0.443,0.862325945063911
"324","AGAP11",-1.3772875171358,0.0369,0.765429305912596
"325","AGAP2",0.0173804496655162,0.978,0.996620347394541
"326","AGAP3",-0.686306316529408,0.263,0.82112213740458
"327","AGAP4",-0.658265376889431,0.327,0.829708429051069
"328","AGAP5",-1.07398551931811,0.0275,0.735817757009346
"329","AGAP6",-1.19795401140729,0.105,0.78961743772242
"330","AGAP9",-1.34167120538474,0.116,0.78961743772242
"331","AGBL2",-1.14573441105389,0.0536,0.767252306273063
"332","AGBL3",-0.760058555908948,0.48,0.87497771552273
"333","AGBL4",0.817864185826706,0.38,0.840757341576507
"334","AGBL5",0.345878946049899,0.426,0.856246840775063
"335","AGER",0.858554143932102,0.325,0.829708429051069
"336","AGFG1",-0.327816058307245,0.53,0.889860426929392
"337","AGFG2",0.681574437149551,0.214,0.799799752781211
"338","AGGF1",-0.340872655475046,0.65,0.921493622070602
"339","AGK",0.0362889166856042,0.916,0.981551014297477
"340","AGL",0.570359286421622,0.105,0.78961743772242
"341","AGMAT",-0.410797718474967,0.624,0.917571648690293
"342","AGO1",0.773309369970218,0.529,0.888911257189811
"343","AGO2",-1.3714160661366,0.0183,0.730920038535645
"344","AGO3",-0.353107337080705,0.546,0.895712812285125
"345","AGO4",-0.113944793702576,0.796,0.953295407010792
"346","AGPAT1",0.967425374338209,0.375,0.839446168166305
"347","AGPAT2",0.502642875476124,0.36,0.838849452120057
"348","AGPAT3",0.383787863754974,0.617,0.914951908160099
"349","AGPAT4",0.84853668986887,0.331,0.830254950061328
"350","AGPAT5",-1.43977674926803,0.153,0.793548913043478
"351","AGPS",0.382922251763279,0.226,0.799799752781211
"352","AGR2",-0.517276601739686,0.406,0.84992049598833
"353","AGRN",1.29329156913044,0.165,0.794227212681638
"354","AGT",0.425615265303955,0.557,0.898012726658408
"355","AGTPBP1",-0.736076519544227,0.556,0.897816130851664
"356","AGTRAP",-0.739369360341394,0.384,0.84193085106383
"357","AHCTF1",-0.752543722980703,0.208,0.799799752781211
"358","AHCY",-0.146233029215508,0.751,0.945852982579623
"359","AHCYL1",0.0882387685062758,0.874,0.972205299557075
"360","AHCYL2",-0.567811388115783,0.473,0.873000902527076
"361","AHDC1",0.664670279933237,0.229,0.800521367521368
"362","AHI1",0.0164825464232654,0.975,0.99646530204693
"363","AHNAK",-0.387602134397364,0.377,0.839446168166305
"364","AHNAK2",-0.164889232190764,0.751,0.945852982579623
"365","AHR",-0.790006316556879,0.132,0.79117538688283
"366","AHRR",0.156635258941596,0.843,0.965712628040973
"367","AHSA1",-1.40849618583929,0.201,0.798775426058274
"368","AHSA2",0.0319168366110857,0.959,0.992057016909958
"369","AIDA",0.205625062167128,0.73,0.94050490504905
"370","AIF1L",1.49057763067928,0.0212,0.730920038535645
"371","AIFM1",-0.229478103200548,0.452,0.866182061579652
"372","AIFM2",-1.07547846212662,0.0389,0.765429305912596
"373","AIFM3",-0.150506062083166,0.783,0.952630035696073
"374","AIG1",-0.478301606524111,0.503,0.878960571289062
"375","AIMP1",-0.983257600779757,0.241,0.808700187529301
"376","AIMP2",-0.8538781770052,0.326,0.829708429051069
"377","AIP",0.605353008177021,0.106,0.78961743772242
"378","AJUBA",-0.702743407857002,0.19,0.797609970674487
"379","AK1",1.42119299248615,0.0125,0.730920038535645
"380","AK2",0.306875157342729,0.451,0.866182061579652
"381","AK3",-1.13676399262383,0.168,0.794227212681638
"382","AK4",-0.61222905274151,0.31,0.827964478333643
"383","AK5",1.42938939228149,0.052,0.767252306273063
"384","AK6",-0.769839614038714,0.263,0.82112213740458
"385","AK7",-0.182133848101063,0.691,0.93458664021164
"386","AK8",-0.0103958836132878,0.987,0.996888802652932
"387","AK9",-0.0286544012287511,0.966,0.994511459156549
"388","AKAP1",-0.810018726749041,0.375,0.839446168166305
"389","AKAP10",-0.392589723623028,0.512,0.883258616534105
"390","AKAP11",0.493443041142855,0.294,0.827964478333643
"391","AKAP12",0.221409262199147,0.736,0.94238282647585
"392","AKAP13",0.20279085710596,0.551,0.89753812016386
"393","AKAP17A",-0.0892410616693997,0.83,0.962954508791741
"394","AKAP2",-0.74076521940138,0.578,0.902297709923664
"395","AKAP3",-2.04972480074988,0.0211,0.730920038535645
"396","AKAP5",-0.418893707720978,0.613,0.913977189876054
"397","AKAP6",0.501954622157689,0.387,0.84193085106383
"398","AKAP7",-0.61504182828884,0.0621,0.778425131348511
"399","AKAP8",-1.71037429659323,0.0196,0.730920038535645
"400","AKAP8L",-1.12686503398514,0.178,0.797609970674487
"401","AKAP9",-0.793517354560445,0.0518,0.767252306273063
"402","AKIP1",-1.03376597972724,0.117,0.78961743772242
"403","AKIRIN1",-0.102669076552124,0.927,0.98427570093458
"404","AKIRIN2",-1.87095375376937,0.00541,0.730920038535645
"405","AKNA",-1.06857139735156,0.195,0.797992036405006
"406","AKR1A1",0.570846321349265,0.605,0.911036546943919
"407","AKR1B1",-0.404823384869065,0.515,0.884277917716205
"408","AKR1B10",0.219633057371871,0.588,0.904944819457838
"409","AKR1B15",-0.712091888049414,0.0307,0.738154036243822
"410","AKR1C1",-0.101450230019552,0.894,0.977737795095118
"411","AKR1C2",0.0442980581498803,0.965,0.994511459156549
"412","AKR1C3",0.165074692383265,0.755,0.947389989481066
"413","AKR1E2",0.109914621816966,0.774,0.94959556620731
"414","AKR7A2",0.761825136316629,0.165,0.794227212681638
"415","AKR7A3",-1.37358409716212,0.0513,0.767252306273063
"416","AKR7L",-0.975553503456689,0.171,0.79579185520362
"417","AKT1",0.752378235284247,0.279,0.825639367816092
"418","AKT1S1",0.429937884245394,0.66,0.925629469971588
"419","AKT2",0.40768081613693,0.638,0.918625025145846
"420","AKT3",-1.24225723312854,0.132,0.79117538688283
"421","AKTIP",0.41161374217015,0.543,0.894790302194646
"422","ALAD",1.02142960459246,0.161,0.794227212681638
"423","ALAS1",0.285708392021825,0.76,0.948629158004158
"424","ALCAM",0.165878958806372,0.84,0.964204955496752
"425","ALDH16A1",0.958963027541318,0.44,0.860582046727695
"426","ALDH18A1",-1.10234992884607,0.144,0.79117538688283
"427","ALDH1A1",-0.37327730336782,0.761,0.948629158004158
"428","ALDH1A3",-0.253450346631076,0.709,0.938623416258208
"429","ALDH1B1",-0.380614753022167,0.365,0.838849452120057
"430","ALDH1L1",-0.515927697358368,0.658,0.924636301168156
"431","ALDH1L2",0.226190889080257,0.64,0.920116500954103
"432","ALDH2",-0.831218979839975,0.206,0.799799752781211
"433","ALDH3A1",0.0476753837677479,0.964,0.994140191628845
"434","ALDH3A2",-0.841040973481909,0.165,0.794227212681638
"435","ALDH3B1",-0.991851047333395,0.182,0.797609970674487
"436","ALDH3B2",-0.271352665820932,0.683,0.93151152820122
"437","ALDH4A1",0.338871069442513,0.781,0.952219998296568
"438","ALDH5A1",-0.396682970985744,0.467,0.871932307290987
"439","ALDH6A1",-0.227641938972343,0.747,0.945640696851786
"440","ALDH7A1",0.413208620072994,0.493,0.877873392680514
"441","ALDH8A1",-0.0610717954065921,0.947,0.989078140960163
"442","ALDH9A1",0.484716648927991,0.569,0.900186018437226
"443","ALDOA",0.687207522273406,0.179,0.797609970674487
"444","ALDOC",0.463160108356149,0.549,0.896524640657084
"445","ALG1",1.80432403553651,0.0295,0.736338409475465
"446","ALG10",-0.966029165111085,0.171,0.79579185520362
"447","ALG10B",-1.27701576611955,0.0132,0.730920038535645
"448","ALG11",-0.460902707421,0.52,0.886800095306171
"449","ALG12",0.329333620031542,0.474,0.873607570490537
"450","ALG13",0.18220632527204,0.789,0.953286208642809
"451","ALG14",1.62156747515512,0.0386,0.765429305912596
"452","ALG1L",-0.597381287743214,0.222,0.799799752781211
"453","ALG2",-1.11778196749295,0.268,0.823619579218549
"454","ALG3",-0.944312316961352,0.297,0.827964478333643
"455","ALG5",0.068443457145933,0.914,0.98124418779061
"456","ALG6",-1.40728823779772,0.165,0.794227212681638
"457","ALG8",-0.388780018258665,0.387,0.84193085106383
"458","ALG9",-0.172331866416555,0.816,0.958326359832636
"459","ALK",0.665178984720939,0.377,0.839446168166305
"460","ALKAL2",-0.695651366962518,0.354,0.836498844503136
"461","ALKBH1",0.0556161452367777,0.918,0.981825882528547
"462","ALKBH2",-1.19257340100364,0.145,0.79117538688283
"463","ALKBH3",0.368701547320859,0.536,0.894061990212072
"464","ALKBH4",0.376410909239864,0.511,0.882916716958358
"465","ALKBH5",0.427056331377276,0.577,0.902297709923664
"466","ALKBH6",0.965426888014601,0.209,0.799799752781211
"467","ALKBH7",-0.23533559452414,0.683,0.93151152820122
"468","ALKBH8",-0.106734157295228,0.798,0.954014531484884
"469","ALMS1",-1.5988623065654,0.0538,0.767252306273063
