"","genes","estimate","p","p.adj"
"13219","USP43",0.0443811644738724,0.912,0.98075904247336
"13220","USP44",-0.136877597011716,0.902,0.979230244198392
"13221","USP45",-0.660062011552997,0.391,0.84472758828856
"13222","USP46",-0.537539279489698,0.285,0.827964478333643
"13223","USP47",-0.835064829690662,0.134,0.79117538688283
"13224","USP48",-0.551448599615437,0.332,0.830580216707445
"13225","USP49",-0.226474207198789,0.709,0.938623416258208
"13226","USP5",-0.503597883864063,0.435,0.859730084219246
"13227","USP51",0.484709902970089,0.411,0.851072616808911
"13228","USP53",-0.442854299241228,0.35,0.835738115095913
"13229","USP54",-0.848254198251725,0.244,0.811538104089219
"13230","USP6",-0.970965147356364,0.0102,0.730920038535645
"13231","USP6NL",-0.710270220473587,0.0913,0.78961743772242
"13232","USP7",0.537547076979906,0.182,0.797609970674487
"13233","USP8",-0.86776306774585,0.0997,0.78961743772242
"13234","USP9X",-0.475754178308969,0.495,0.877873392680514
"13235","USPL1",-0.951554126582435,0.0525,0.767252306273063
"13236","UST",-0.417254682634183,0.573,0.900186018437226
"13237","UTP11",0.344961228891721,0.781,0.952219998296568
"13238","UTP14A",-0.684128265851769,0.198,0.798775426058274
"13239","UTP14C",-0.352667184828044,0.328,0.829708429051069
"13240","UTP15",-1.66442810349413,0.0157,0.730920038535645
"13241","UTP18",-1.29323059099195,0.261,0.82112213740458
"13242","UTP23",-0.844877059126341,0.0809,0.78961743772242
"13243","UTP3",-0.547600939598564,0.24,0.807236842105263
"13244","UTP4",-0.498940831288561,0.406,0.84992049598833
"13245","UTP6",-1.14702455387976,0.377,0.839446168166305
"13246","UTRN",0.463170162497766,0.288,0.827964478333643
"13247","UVRAG",0.296285476386635,0.349,0.835440635451505
"13248","UVSSA",-0.370033266415785,0.451,0.866182061579652
"13249","UXS1",-0.0822660603267461,0.926,0.984162892568119
"13250","UXT",0.587959219836027,0.399,0.846300933471625
"13251","VAC14",-0.107921760088026,0.876,0.973295560384974
"13252","VAMP1",-0.271631245064321,0.76,0.948629158004158
"13253","VAMP2",1.59024881518918,0.0281,0.736338409475465
"13254","VAMP3",0.190918542633317,0.789,0.953286208642809
"13255","VAMP4",-1.40952807929614,0.0495,0.767252306273063
"13256","VAMP5",-0.0894849615281205,0.833,0.962954508791741
"13257","VAMP7",0.0585350168083081,0.928,0.984388291959985
"13258","VAMP8",-0.205525042575447,0.544,0.894790302194646
"13259","VANGL1",0.62149104246838,0.0894,0.78961743772242
"13260","VANGL2",-0.349655709464621,0.363,0.838849452120057
"13261","VAPA",-0.675352211934429,0.322,0.829708429051069
"13262","VAPB",1.63275764886431,0.167,0.794227212681638
"13263","VARS",0.653590882354523,0.605,0.911036546943919
"13264","VARS2",0.815758499808966,0.188,0.797609970674487
"13265","VASH1",-0.521522324340896,0.23,0.801472736124635
"13266","VASH2",-1.48619225971494,0.0847,0.78961743772242
"13267","VASN",1.22357187919231,0.0777,0.783916666666667
"13268","VASP",1.37871370571867,0.0703,0.782714340490798
"13269","VAT1",-0.623560897851302,0.54,0.894790302194646
"13270","VAV1",0.960457975783172,0.144,0.79117538688283
"13271","VAV2",-0.189312743297205,0.817,0.958714238872039
"13272","VAV3",0.536314928352864,0.47,0.872120682964688
"13273","VAX1",0.510616749960877,0.678,0.930488703810071
"13274","VAX2",-0.343227244180066,0.665,0.927010906612134
"13275","VBP1",-0.0685469839249098,0.902,0.979230244198392
"13276","VCAM1",-0.727785284625073,0.63,0.917721583392694
"13277","VCAN",0.579351818293678,0.387,0.84193085106383
"13278","VCL",0.559773470548532,0.321,0.829708429051069
"13279","VCP",-0.494861216563921,0.573,0.900186018437226
"13280","VCPIP1",-0.728734823980789,0.0691,0.782714340490798
"13281","VCPKMT",0.739165500332003,0.214,0.799799752781211
"13282","VDAC1",-0.0157398530730368,0.98,0.996620347394541
"13283","VDAC2",-0.628798788555826,0.435,0.859730084219246
"13284","VDAC3",-0.3462027153044,0.431,0.857984285912947
"13285","VDR",0.464145007455543,0.544,0.894790302194646
"13286","VEGFA",0.413939148429193,0.492,0.877873392680514
"13287","VEGFB",0.199629401842419,0.764,0.948629158004158
"13288","VEGFC",-1.5139590261505,0.0149,0.730920038535645
"13289","VEPH1",-0.199735796484938,0.592,0.905683445548787
"13290","VEZF1",-0.52569179571273,0.461,0.869347253326307
"13291","VEZT",-0.577753159145409,0.223,0.799799752781211
"13292","VGLL1",-0.325593563933273,0.697,0.936357417299222
"13293","VGLL3",-0.0426539960282742,0.966,0.994511459156549
"13294","VGLL4",-0.44013093119932,0.523,0.887370510845087
"13295","VHL",0.68670689646636,0.38,0.840757341576507
"13296","VHLL",-0.714682831742484,0.197,0.798775426058274
"13297","VIL1",-0.391347841491136,0.115,0.78961743772242
"13298","VILL",0.320327192810909,0.743,0.945258176324209
"13299","VIM",0.538939085262536,0.182,0.797609970674487
"13300","VIPAS39",-0.217731137137706,0.586,0.904527711882683
"13301","VIPR1",0.499828738436835,0.397,0.845441088961619
"13302","VIRMA",-0.919719733779399,0.203,0.798775426058274
"13303","VIT",-0.206420365320456,0.554,0.897816130851664
"13304","VKORC1",1.52116336974385,0.00621,0.730920038535645
"13305","VKORC1L1",-1.02921056063975,0.0565,0.767252306273063
"13306","VLDLR",-0.696079793021205,0.165,0.794227212681638
"13307","VMA21",-0.623280009634865,0.477,0.874184483420817
"13308","VMAC",0.583012853572573,0.629,0.917721583392694
"13309","VMP1",-1.258119710101,0.021,0.730920038535645
"13310","VN1R1",-0.858807528481847,0.238,0.807236842105263
"13311","VNN1",-1.0719630073613,0.143,0.79117538688283
"13312","VNN2",-0.160041820410265,0.836,0.96353172690763
"13313","VNN3",-1.21498347217783,0.0558,0.767252306273063
"13314","VOPP1",0.384737538321856,0.393,0.845441088961619
"13315","VPREB3",-1.06597021153957,0.205,0.799393898120403
"13316","VPS11",-0.794610696033791,0.224,0.799799752781211
"13317","VPS13A",-0.515915053511249,0.419,0.853684173071449
"13318","VPS13B",-0.70880100920735,0.15,0.79117538688283
"13319","VPS13C",-0.151174411636933,0.84,0.964204955496752
"13320","VPS13D",-0.431715986417982,0.53,0.889860426929392
"13321","VPS16",-0.230698788103177,0.725,0.939814814814815
"13322","VPS18",-1.00944738181999,0.0133,0.730920038535645
"13323","VPS25",0.48412378211464,0.532,0.890815300035092
"13324","VPS26A",-0.482806560359463,0.43,0.857984285912947
"13325","VPS26B",0.771072013815904,0.175,0.796283185840708
"13326","VPS28",-1.01883756349911,0.142,0.79117538688283
"13327","VPS29",-0.644114607774502,0.367,0.838849452120057
"13328","VPS33A",-1.39868906308017,0.0737,0.782787103746398
"13329","VPS33B",-0.350589592311903,0.699,0.936407812353986
"13330","VPS35",-0.282492234040959,0.486,0.876759924385633
"13331","VPS36",-0.530340181548674,0.461,0.869347253326307
"13332","VPS37A",-0.368412995681738,0.547,0.896118345899018
"13333","VPS37B",0.298865131416595,0.579,0.902663622526636
"13334","VPS37C",0.859199329063972,0.069,0.782714340490798
"13335","VPS37D",-0.0605686121180362,0.859,0.970126083530339
"13336","VPS39",-1.06345952660626,0.0948,0.78961743772242
"13337","VPS41",0.154722979038561,0.828,0.962861088545898
"13338","VPS45",0.217639897951852,0.767,0.949218034062419
"13339","VPS4A",0.491287610641156,0.291,0.827964478333643
"13340","VPS4B",0.488840381305067,0.422,0.855050247699929
"13341","VPS50",-0.853324616625125,0.0905,0.78961743772242
"13342","VPS51",0.508143011542373,0.466,0.871315308254963
"13343","VPS52",1.04043292918061,0.243,0.810660685154976
"13344","VPS53",-0.482830807463436,0.269,0.823862858365426
"13345","VPS54",-0.729416350610852,0.171,0.79579185520362
"13346","VPS72",-0.759080221184929,0.151,0.792072187614511
"13347","VPS8",-0.0741062008670247,0.935,0.985716177444273
"13348","VPS9D1",0.546169087322603,0.335,0.832700989755166
"13349","VRK1",-1.01334583855616,0.117,0.78961743772242
"13350","VRK2",0.213923515212515,0.661,0.926487320082248
"13351","VRK3",0.53925921478631,0.508,0.88188455008489
"13352","VRTN",-0.669570008737151,0.434,0.859533757609297
"13353","VSIG10",-1.53727995868639,0.0575,0.767252306273063
"13354","VSIG10L",0.244797298502645,0.745,0.945449911347518
"13355","VSIG8",0.237621993255128,0.563,0.900154427285857
"13356","VSIR",0.704055924477296,0.141,0.79117538688283
"13357","VSNL1",1.18210632067038,0.38,0.840757341576507
"13358","VSTM2L",0.209209351166226,0.685,0.932462438189426
"13359","VSTM5",-1.06109965362634,0.361,0.838849452120057
"13360","VTA1",-0.758144518399638,0.306,0.827964478333643
"13361","VTCN1",0.923978969757557,0.013,0.730920038535645
"13362","VTI1A",-0.309318451342443,0.683,0.93151152820122
"13363","VTI1B",0.652200276656496,0.281,0.825639367816092
"13364","VWA1",0.91253611157814,0.239,0.807236842105263
"13365","VWA2",-1.05833327145456,0.0561,0.767252306273063
"13366","VWA5A",-0.583766964756023,0.544,0.894790302194646
"13367","VWA5B2",0.179695018990626,0.528,0.888911257189811
"13368","VWA7",0.678894126679507,0.364,0.838849452120057
"13369","VWA8",0.627186117287448,0.418,0.853468834688347
"13370","VWC2",-0.499435881422984,0.511,0.882916716958358
"13371","VWCE",0.417328359576307,0.278,0.825639367816092
"13372","VWDE",0.00452157805404764,0.98,0.996620347394541
"13373","VWF",-0.963709931662737,0.105,0.78961743772242
"13374","WAC",-1.16707232060897,0.0362,0.765429305912596
"13375","WAPL",-1.31861587648554,0.0153,0.730920038535645
"13376","WARS",-0.0599028767394552,0.916,0.981551014297477
"13377","WARS2",0.274452487968458,0.646,0.920748086290884
"13378","WAS",-0.11285660943581,0.824,0.961333333333333
"13379","WASF1",-0.0663015998694329,0.883,0.975771576347074
"13380","WASF2",0.00876377835543568,0.987,0.996888802652932
"13381","WASF3",-0.0489883330131122,0.945,0.988720581786288
"13382","WASHC1",0.116638475240154,0.863,0.970756325632563
"13383","WASHC2A",-1.99454560537119,0.0168,0.730920038535645
"13384","WASHC2C",-1.44314342664867,0.0515,0.767252306273063
"13385","WASHC3",0.21423767279001,0.658,0.924636301168156
"13386","WASHC4",-1.93057441690516,0.0149,0.730920038535645
"13387","WASHC5",-0.595904768192998,0.303,0.827964478333643
"13388","WASL",-0.445961471029702,0.497,0.877906589338598
"13389","WBP1",0.0512456158904363,0.924,0.983570791195717
"13390","WBP11",-0.874918466862492,0.234,0.804831811629025
"13391","WBP1L",-0.17809808086708,0.739,0.94377598358462
"13392","WBP2",0.189576303842365,0.683,0.93151152820122
"13393","WBP2NL",-1.16507668601416,0.205,0.799393898120403
"13394","WBP4",0.0460274375451686,0.942,0.987385955920041
"13395","WDCP",-1.25697189083139,0.0892,0.78961743772242
"13396","WDFY1",0.141222087612228,0.845,0.966456935123042
"13397","WDFY2",0.568717281996133,0.414,0.852083333333333
"13398","WDFY3",-0.388851319594499,0.297,0.827964478333643
"13399","WDHD1",-0.640963183452857,0.392,0.845357035251582
"13400","WDPCP",-0.0699688039497038,0.871,0.971283399548181
"13401","WDR1",0.891042098229334,0.0809,0.78961743772242
"13402","WDR11",-0.38924337831878,0.31,0.827964478333643
"13403","WDR12",-0.666060435635267,0.0981,0.78961743772242
"13404","WDR13",1.13562674167622,0.0454,0.767252306273063
"13405","WDR17",-1.36657871696313,0.0431,0.767252306273063
"13406","WDR18",0.593461684511434,0.24,0.807236842105263
"13407","WDR19",-1.0656534328139,0.124,0.78961743772242
"13408","WDR20",0.292919822471665,0.556,0.897816130851664
"13409","WDR24",0.466468238648059,0.437,0.860271731690623
"13410","WDR25",-0.053646309130451,0.931,0.985088698351689
"13411","WDR26",-0.721288361563308,0.32,0.829708429051069
"13412","WDR27",-0.783542080227908,0.306,0.827964478333643
"13413","WDR3",-0.181932256795194,0.567,0.900186018437226
"13414","WDR31",-1.10417571752541,0.0612,0.777244906997343
"13415","WDR33",-0.254668916161524,0.581,0.903630486744894
"13416","WDR34",0.297845671379075,0.569,0.900186018437226
"13417","WDR35",-1.26260616002381,0.00194,0.730920038535645
"13418","WDR36",-0.432080008052884,0.465,0.870468811298548
"13419","WDR37",-0.180288481652854,0.79,0.953295407010792
"13420","WDR4",0.125651123102584,0.806,0.955756295559974
"13421","WDR41",-0.473223303613034,0.506,0.881620009737098
"13422","WDR43",0.095801157737664,0.792,0.953295407010792
"13423","WDR44",0.784065779606251,0.439,0.860271731690623
"13424","WDR45",0.403175937671878,0.604,0.911036546943919
