"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLTP",-1.86109427082608,5.099829638875,-4.1679505787103,0.000685211888842677,0.995890648044264,-3.68584458622158
"BANF1",0.490941820989131,7.215418964875,3.95599520408507,0.00107631586853337,0.995890648044264,-3.74132655941817
"HRASLS",-0.763878170804348,4.64006321158333,-3.93765838114071,0.00111929653321256,0.995890648044264,-3.74624559298047
"SYT12",0.740402648782607,2.034355289,3.90101599687744,0.00121043530477034,0.995890648044264,-3.75613147750344
"STBD1",-0.751375081054348,3.1377491235,-3.84245149229341,0.00137186841833601,0.995890648044264,-3.77208639038614
"PCDHB4",-0.685378241934781,2.680568910375,-3.75235996011251,0.00166347858198205,0.995890648044264,-3.7969971585063
"HERC3",-0.555228966119565,3.84255805975,-3.72028142127252,0.00178169929407247,0.995890648044264,-3.80597292469236
"MCUB",-0.760571519119567,4.88804028566667,-3.62610453671676,0.00217965600372992,0.995890648044264,-3.832639178574
"LPCAT2",-0.527475903141305,3.34173417229167,-3.61720156957409,0.00222159470307899,0.995890648044264,-3.83518403142249
"OAZ1",0.538551205315212,7.87960099408333,3.60518703243168,0.00227947161669194,0.995890648044264,-3.83862478413179
"NME1-NME2",0.61564269420652,2.68665502533333,3.51987219052765,0.00273608668861619,0.995890648044264,-3.86326863330722
"FAM114A2",-0.499112066999999,2.18470185754167,-3.49359594801118,0.00289429203598244,0.995890648044264,-3.87093203716552
"ABCC3",0.933721853586957,1.75805506704167,3.46741041549578,0.00306100448477662,0.995890648044264,-3.87860262624615
"PTGES3L",-0.684408233097826,1.49029767179167,-3.46511304832702,0.00307607876109831,0.995890648044264,-3.87927718760067
"GPRIN3",-0.560690539760869,0.851692048333333,-3.45371868465757,0.00315194110241088,0.995890648044264,-3.88262660363498
"PHLDA2",0.654270904847825,3.49021350295833,3.43800863636828,0.00325959471480167,0.995890648044264,-3.88725484533546
"SLC4A4",-0.900098343858696,1.361550947125,-3.42701041927795,0.00333712624101658,0.995890648044264,-3.89050196175913
"SEPHS2",0.44718657348913,5.69225342308333,3.41385860058959,0.00343224683957763,0.995890648044264,-3.89439242076197
"PPP1R3D",-0.580016233086956,2.596236424625,-3.41071315291056,0.00345539222719264,0.995890648044264,-3.89532408667215
"ADAL",-0.503283592347825,2.439623604,-3.37715870719075,0.00371214336579531,0.995890648044264,-3.905291449175
"ZNF449",-0.602523637978262,2.38972328658333,-3.35050514493733,0.00392949411947998,0.995890648044264,-3.91324583330576
"VAMP4",-0.501874915086956,2.90456442791667,-3.34238820242307,0.00399815514085575,0.995890648044264,-3.91567462480086
"PAN2",-0.522446791163046,3.639120295625,-3.28670075174245,0.00450230867246398,0.995890648044264,-3.93241669989751
"PMF1-BGLAP",0.70318812152174,3.32151758895833,3.28087087838272,0.00455859118651096,0.995890648044264,-3.93417725851972
"NFS1",-0.426852060586957,4.35275508983333,-3.26556192100715,0.00470971592019934,0.995890648044264,-3.93880734322045
"PLA2G16",0.923735055032609,5.35764993175,3.25844259938068,0.0047816701496202,0.995890648044264,-3.94096393315854
"EPHB2",0.76585528573913,1.958830214875,3.21962981048012,0.00519344163745106,0.995890648044264,-3.9527584970937
"DSC3",-1.48410462206522,5.32222622395833,-3.21400908777187,0.00525590083517912,0.995890648044264,-3.95447170193094
"NUDT13",-0.498624385586957,1.5329985525,-3.21054937900328,0.00529471354178658,0.995890648044264,-3.9555268666678
"ZNF397",-0.437351645239131,3.8717750915,-3.20134836104782,0.0053993141723179,0.995890648044264,-3.9583354148963
"MYDGF",0.499420297434782,5.754474571875,3.17314876351096,0.00573273364343786,0.995890648044264,-3.96696426551518
"CCDC94",0.597823402706522,3.51481024791667,3.15859833577104,0.0059126110010692,0.995890648044264,-3.97142883193408
"DLGAP3",-0.768810231119565,0.9939789305,-3.15675815347977,0.00593575158949433,0.995890648044264,-3.97199404807305
"PUS3",-0.480176731217391,4.49395670545833,-3.14604888301584,0.00607219934513248,0.995890648044264,-3.97528601042903
"ENTPD1",-0.431265513826087,0.813016929291667,-3.12048606772795,0.00641047451303221,0.995890648044264,-3.98316146705231
"MRPS34",0.459762188478261,5.67147210295833,3.11874692998166,0.00643414927238256,0.995890648044264,-3.98369815469824
"ADGRG6",-1.09609196096739,4.18880983883333,-3.118217047342,0.00644137956622566,0.995890648044264,-3.9838616956576
"TLR7",0.920619904771739,1.53461432220833,3.11468943531695,0.00648971776172737,0.995890648044264,-3.98495070935018
"RAB24",-0.518687635402174,4.38162713629167,-3.11224625800772,0.00652340458756637,0.995890648044264,-3.98570521518182
"TIGD6",-0.446508401695653,1.99528517016667,-3.11153756632804,0.00653320817242458,0.995890648044264,-3.98592411560068
"KIAA1328",-0.565271821456521,2.70348779941667,-3.10218326508634,0.00666397182697793,0.995890648044264,-3.98881519460432
"RBM23",0.472808638771739,4.56021858220833,3.08959579728101,0.00684398959394511,0.995890648044264,-3.99271055027704
"SEZ6L2",-1.09362447741304,3.429580159,-3.08477255622548,0.00691422429065688,0.995890648044264,-3.99420467588502
"COX18",-0.471545530956522,1.926388789125,-3.07802975771142,0.00701359613945653,0.995890648044264,-3.99629482472715
"BRMS1",0.408337016195656,5.480874158375,3.07395261599237,0.0070743602647465,0.995890648044264,-3.99755944818783
"ZSCAN30",-0.506828360076086,2.60096845195833,-3.04925000114933,0.00745369426706598,0.995890648044264,-4.00523396709102
"SPRR1B",-0.880483536554347,1.755584383125,-3.03538385925227,0.00767527044144763,0.995890648044264,-4.00955101811734
"IGSF1",-0.906503633706523,1.66884494558333,-3.03107316331113,0.00774545698163379,0.995890648044264,-4.01089441811193
"ARHGAP11B",-0.455074822880436,5.3792245325,-3.02474449422766,0.00784963802130956,0.995890648044264,-4.01286782664624
"ZNF287",-0.396780667217391,1.69108202341667,-3.02448140199089,0.00785399850280311,0.995890648044264,-4.01294989290633
