"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF449",-0.993086892124937,0.0756211514222972,-3.90999175373464,0.000816297487568658,0.999265045113336,-3.9020536111005
"IL32",0.67309417167988,0.134909085199228,3.56549990604959,0.00184591289965467,0.999265045113336,-3.98654394589898
"FIBCD1",0.757229825387461,-0.147617382354852,3.48986718844571,0.00220551504398738,0.999265045113336,-4.00561001297473
"KCNMB3",-0.774221911215201,0.0640765568532832,-3.417159828911,0.00261569463867178,0.999265045113336,-4.02409340333398
"LRFN3",-0.613878159398622,0.00857192942888761,-3.37178240575297,0.00290864764110633,0.999265045113336,-4.03570127690842
"ZNF777",-0.655047353278931,0.179783997563246,-3.33472436034455,0.00317149082929915,0.999265045113336,-4.04521986517575
"LOC100289561",-0.749004804404881,0.125953427016993,-3.31128359624655,0.00334958384550781,0.999265045113336,-4.0512580541813
"LSM14B",-0.646286245273993,-0.117642808258353,-3.30717307288146,0.00338180415495288,0.999265045113336,-4.05231824041862
"CCNL2",-0.594821442788488,-0.0122087817587573,-3.25464146576076,0.00382115625361171,0.999265045113336,-4.06590117045115
"FAM114A2",-0.790455279098711,-0.269338288871057,-3.25093278472472,0.00385419387858114,0.999265045113336,-4.06686242474793
"KMT2B",-0.752034935844791,0.048093124511794,-3.19011736091965,0.00443729359852564,0.999265045113336,-4.08266609375518
"HBQ1",1.10869072036257,0.0727981845777016,3.15943404720864,0.00476316120847996,0.999265045113336,-4.09066723405483
"MCUB",-0.736853271855839,0.166238042477282,-3.09281804334589,0.00555248020576111,0.999265045113336,-4.10809601338917
"MAPKBP1",-0.745328235382622,0.0374367162707266,-3.07061244242871,0.00584267590992037,0.999265045113336,-4.11392171009451
"PPFIA4",-0.760691681459123,0.141425430693327,-3.03371585992574,0.00635754841023586,0.999265045113336,-4.12361753429107
"KCTD7",-0.556514671512708,0.0773092926125848,-3.02374125949403,0.00650409055414253,0.999265045113336,-4.12624188814389
"UBE2I",0.72962550972858,0.0365272797088386,3.0214188962705,0.00653867417747452,0.999265045113336,-4.12685309553238
"HRASLS",-0.670012859764719,-0.0162328141598367,-3.01294501635654,0.00666637322328212,0.999265045113336,-4.12908385954752
"PPP1R3D",-0.517183565324559,-0.0201634846319173,-2.98682234422222,0.00707533452696741,0.999265045113336,-4.1359661893433
"MTHFS",0.750559270394797,0.000661283043521151,2.98022658714573,0.00718235214429652,0.999265045113336,-4.1377051674002
"EIF4G2",0.63763827876376,0.229500436887013,2.97069295098799,0.00733979401591831,0.999265045113336,-4.14021956181237
"TALDO1",0.60207419025608,0.102075535768358,2.96282712191885,0.00747218711573411,0.999265045113336,-4.14229481491328
"ZNF416",-0.563509680531951,-0.00922058187997631,-2.95417783833785,0.00762041659136146,0.999265045113336,-4.14457749713804
"PGA5",1.00089770980347,-0.0214216423875082,2.95301070376634,0.0076406337822445,0.999265045113336,-4.1448855793246
"OSBPL2",-0.571682187598759,-0.0209697949588335,-2.95028970342998,0.00768796747919545,0.999265045113336,-4.14560387866461
"OSER1",-0.677462025955662,-0.116891509233817,-2.94377711423259,0.00780240527158449,0.999265045113336,-4.14732338389469
"PRELID2",-0.639028006415022,-0.0455702539598058,-2.94292729423239,0.00781745825892365,0.999265045113336,-4.14754778965598
"PSMC3",0.61892248785946,-0.0340376644834958,2.941568202009,0.00784159004689078,0.999265045113336,-4.14790668920743
"ZNF25",-0.768181730455379,0.0510254494381844,-2.93887332797663,0.00788965144867791,0.999265045113336,-4.14861838317868
"RHOBTB3",-0.677028209311123,0.0243767069264106,-2.93750481240497,0.00791416623651891,0.999265045113336,-4.14897982232363
"PSME1",0.745893462934126,-0.0441536611311863,2.92811166467802,0.00808441387849528,0.999265045113336,-4.15146110299785
"FBXO48",-0.624179468658656,-0.143089282110292,-2.92436365941081,0.00815332159439631,0.999265045113336,-4.15245138609035
"ZNF287",-0.599246748170827,0.0906775156679165,-2.92016214114682,0.00823123715171559,0.999265045113336,-4.15356163617452
"FAM58A",-0.556544491178008,0.107272842999138,-2.91979322546952,0.00823811256259508,0.999265045113336,-4.15365912908438
"SAMD10",-0.542399234074896,-0.030259692338583,-2.91255375933656,0.00837415303276835,0.999265045113336,-4.15557251923266
"ELL3",-0.687128749526957,-0.0840903562350873,-2.90998611591807,0.00842291844559027,0.999265045113336,-4.15625124800903
"VSTM5",-0.733535868737959,0.386035697504807,-2.89775820631114,0.00865891376608363,0.999265045113336,-4.15948425771851
"TLR7",0.613909212802016,0.160972941360535,2.88421381754285,0.00892771017992231,0.999265045113336,-4.16306660117268
"CCDC7",-0.668238904944143,0.13457370332176,-2.88009456448248,0.00901103150708562,0.999265045113336,-4.16415634478681
"RAN",0.703733307210368,0.0439038837842485,2.86796872372789,0.00926064691606722,0.999265045113336,-4.16736484147913
"PCBD2",-0.571139884963252,-0.0533262538272127,-2.86721318882409,0.00927641691178568,0.999265045113336,-4.16756478526266
"PSMD13",0.624379986407159,-0.0514456501015419,2.8627656677891,0.00936977030744918,0.999265045113336,-4.16874183795351
"TNFAIP8L2-SCNM1",-0.950012958619181,0.0832498168040807,-2.85748454731534,0.00948178796965488,0.999265045113336,-4.17013964900402
"PCDHGA8",-0.871802986413464,-0.0845470256716962,-2.85614187727432,0.00951047080550577,0.999265045113336,-4.17049505194862
"ZNF565",-0.882946097791053,0.166850108225891,-2.83948891700403,0.00987318500316807,0.999265045113336,-4.174903820318
"LOC101927572",-0.68347267843614,-0.142761613459791,-2.82727878899662,0.0101474876674896,0.999265045113336,-4.17813717430556
"PLXNA3",-0.633040400838831,0.107970378339906,-2.79695746865092,0.0108604650624159,0.999265045113336,-4.18616882963484
"C11orf58",0.560334249582689,0.0395747467905776,2.79019877276599,0.0110257737419427,0.999265045113336,-4.18795944731774
