AP4M1	1e-13
RUNX1	1e-13
SUV39H1	1e-13
GMIP	1e-13
TBC1D31	1e-13
SERPINF2	1e-13
MAD2L2	1e-13
VPS28	1e-13
BRSK1	1e-13
CSF1	1e-13
PYGO2	1e-13
DUSP4	1e-13
GATAD2A	1e-13
LRRC57	1e-13
ATP5O	1e-13
KCND1	1e-13
EYA3	1e-13
DPP8	1e-13
AK1	1e-13
ACAP3	0.000589275191514416
IFT122	0.000589275191514416
NUPL2	0.000589275191514416
RGS12	0.000589275191514416
MRPS2	0.000589275191514416
ISM2	0.000589275191514416
RTFDC1	0.000589275191514416
TWIST1	0.000589275191514416
CDC42EP4	0.000589275191514416
EFCAB11	0.00117855038302883
SPATC1L	0.00117855038302883
STAC	0.00117855038302883
RAB35	0.00117855038302883
CXORF57	0.00117855038302883
GET4	0.00117855038302883
DOCK10	0.00117855038302883
ZMYND10	0.00176782557454336
CYCS	0.00176782557454336
VPS13B	0.00176782557454336
KDM2B	0.00176782557454336
KCNH2	0.00235710076605777
PPP1R16A	0.00294637595757219
GKAP1	0.00294637595757219
XPO6	0.00294637595757219
EFNB2	0.00294637595757219
ZNF22	0.00294637595757219
TWSG1	0.00294637595757219
YOD1	0.00294637595757219
TBX4	0.00471420153211555
OIP5	0.00471420153211555
ZDBF2	0.00471420153211555
ZNF34	0.00471420153211555
ABCC3	0.00530347672362996
NEURL1B	0.00530347672362996
DOCK11	0.00530347672362996
NUDCD1	0.00530347672362996
PIK3CD	0.00589275191514438
TACC3	0.00589275191514438
FCGR2A	0.00589275191514438
HTT	0.00589275191514438
LRRC3	0.00589275191514438
MED18	0.00589275191514438
BEX4	0.00589275191514438
TCHP	0.00589275191514438
SNAPIN	0.00589275191514438
WT1	0.00589275191514438
RIMS3	0.00589275191514438
RAP1GAP2	0.00648202710665879
MPHOSPH10	0.00648202710665879
C5ORF15	0.00648202710665879
ASAP3	0.00707130229817321
EIF2D	0.00707130229817321
ART3	0.00707130229817321
OLFML2B	0.00707130229817321
GPR89B	0.00766057748968774
UVRAG	0.00766057748968774
ZNF503	0.00766057748968774
WDYHV1	0.00824985268120215
EFHD2	0.00824985268120215
C5	0.00824985268120215
OXCT2	0.00824985268120215
UCK2	0.00824985268120215
PCBP1	0.00942840306423098
PHF2	0.0111962286387743
TSPAN18	0.0111962286387743
CPD	0.0111962286387743
PRRX2	0.0111962286387743
PIAS4	0.0111962286387743
METTL13	0.0111962286387743
LIPE	0.0111962286387743
DAGLA	0.0111962286387743
NUBP1	0.0111962286387743
MOCS3	0.0111962286387743
ARID1A	0.0117855038302888
PPP1R14B	0.0117855038302888
ATG10	0.0117855038302888
NAP1L2	0.0117855038302888
KLHL17	0.0117855038302888
RB1	0.0129640542133176
TPM3	0.0129640542133176
C2	0.0129640542133176
TRAPPC10	0.0141426045963465
ZC3H3	0.0141426045963465
KLHL7	0.0141426045963465
HPS5	0.0141426045963465
IL20RA	0.0141426045963465
CDC25B	0.0141426045963465
RAB22A	0.0141426045963465
MTERF1	0.0141426045963465
PDPK1	0.0141426045963465
ADAMTS15	0.0147318797878609
ANKRD44	0.0147318797878609
MFAP2	0.0153211549793754
COMMD3	0.0164997053624042
TIMM44	0.0164997053624042
POLR2L	0.0164997053624042
MYBL2	0.0164997053624042
TIPIN	0.0164997053624042
THAP10	0.0170889805539187
KIAA0895	0.0170889805539187
TNFAIP8L3	0.0170889805539187
KMT2D	0.0170889805539187
NDUFB7	0.0170889805539187
PDLIM1	0.0170889805539187
USP44	0.0170889805539187
SMARCE1	0.0170889805539187
AMOT	0.0176782557454331
CSTB	0.0176782557454331
PRICKLE1	0.0176782557454331
SNIP1	0.0176782557454331
SAMD10	0.0176782557454331
AURKA	0.018856806128462
FBXO42	0.018856806128462
PGD	0.018856806128462
FAM120AOS	0.018856806128462
CKS1B	0.0212139068945197
FZD5	0.0218031820860342
SEMA4C	0.0218031820860342
UBIAD1	0.0218031820860342
RHOB	0.0218031820860342
OSBPL3	0.0229817324690631
SRM	0.0229817324690631
KPNA4	0.0229817324690631
EEFSEC	0.0229817324690631
SUMO4	0.0229817324690631
KDM5B	0.0229817324690631
CACNB2	0.0229817324690631
MYO3A	0.0229817324690631
C1ORF53	0.0229817324690631
NDUFAF1	0.0235710076605775
KLHDC8B	0.0235710076605775
RAB6B	0.0241602828520919
ALG8	0.0241602828520919
ARPC1A	0.0247495580436063
LRCH4	0.0247495580436063
EIF3C	0.0247495580436063
SOWAHC	0.0247495580436063
CDR2	0.0247495580436063
VPS13A	0.0247495580436063
SGMS1	0.0253388332351208
NUDT4	0.0253388332351208
MLLT10	0.0259281084266353
CSRP2	0.0259281084266353
SMC4	0.0259281084266353
PDLIM3	0.0259281084266353
C6ORF120	0.0259281084266353
SLC30A4	0.0265173836181497
FAM136A	0.0276959340011785
MRPL34	0.0276959340011785
RC3H1	0.0276959340011785
STAT5B	0.0276959340011785
PLEC	0.0276959340011785
MTFR1L	0.0276959340011785
NDST3	0.0276959340011785
MTBP	0.028285209192693
RPS16	0.028285209192693
JUNB	0.028285209192693
KLRG2	0.028285209192693
TOPORS	0.0288744843842075
GTF3C3	0.0288744843842075
PARP11	0.0294637595757219
TLN1	0.0294637595757219
PEX14	0.0300530347672363
PHKB	0.0329994107248085
NEURL1	0.0329994107248085
SH3BP1	0.0335886859163229
ZNF251	0.0347672362993517
LRRC14	0.0347672362993517
RFXANK	0.0347672362993517
GSDMA	0.0347672362993517
TLE4	0.0353565114908663
TMEM161A	0.0353565114908663
SLC30A2	0.0353565114908663
