"","gene_symbol","pearson","P_value"
"1","A1BG",-0.00551182517248571,0.97571428990291
"2","A1CF",-0.130317577806073,0.469776112612461
"3","A2M",0.175980192008356,0.327272414535744
"4","A2ML1",-0.0381045059376142,0.833254193552833
"5","A3GALT2",0.112326665604491,0.5337040470187
"6","A4GALT",0.178825232296961,0.319386801746947
"7","A4GNT",-0.0238622623172613,0.89513353471106
"8","AAAS",0.24239984295948,0.174095655119114
"9","AACS",-0.055765507604017,0.757902555159558
"10","AADAC",0.230528919034204,0.196810448775217
"11","AADACL3",0.318769648529125,0.070593698188678
"12","AADACL4",0.135170984226342,0.453248674283785
"13","AADAT",-0.0470435195426115,0.794888386453776
"14","AAED1",0.00920754383347989,0.95944120894317
"15","AAGAB",-0.173440600755214,0.334411977775495
"16","AAK1",0.161673350817463,0.368724321214913
"17","AAMDC",0.159784834684505,0.374418332907326
"18","AAMP",-0.185497308460703,0.301361930705132
"19","AANAT",0.337927774048502,0.0544288565759614
"20","AAR2",0.0682254588854961,0.70598521758747
"21","AARD",-0.230215400402516,0.197437037916549
"22","AARS",0.249070101136802,0.162181872685234
"23","AARS2",0.157385862713532,0.381725446441268
"24","AARSD1",-0.121120211490924,0.501944721224013
"25","AASDH",0.0194617935299313,0.914393362574915
"26","AASDHPPT",0.214528025737028,0.230578127651488
"27","AASS",-0.074129231660156,0.68181678369926
"28","AATF",0.0106494371208062,0.953096227029644
"29","AATK",0.0955345599828321,0.596905690526005
"30","ABAT",0.0921001597590318,0.610219221987103
"31","ABCA1",0.266005656020124,0.134582486474904
"32","ABCA10",0.0255597402177536,0.887719147175842
"33","ABCA12",0.168418323312417,0.348809554909461
"34","ABCA13",-0.114842736473346,0.524519302823826
"35","ABCA2",0.249042660434798,0.162229654240017
"36","ABCA3",0.185651798163421,0.300952357408049
"37","ABCA4",-0.0147747902258724,0.93495971923138
"38","ABCA5",0.0179951709199243,0.920823602901011
"39","ABCA6",-0.0389396963766595,0.829652120522362
"40","ABCA7",-0.204754371835862,0.253025280383505
"41","ABCA8",0.162121186747563,0.367381616997049
"42","ABCA9",-0.0125875721230301,0.94457207715329
"43","ABCB1",-0.19627312199874,0.273639511918362
"44","ABCB10",-0.142674583398718,0.42832269994319
"45","ABCB11",0.0337535115409342,0.852071770763198
"46","ABCB4",-0.12722105310117,0.480483834682254
"47","ABCB5",0.0716420868057735,0.691962323183002
"48","ABCB6",-0.183201529468632,0.3074899072144
"49","ABCB7",0.0603067717777674,0.738846201075898
"50","ABCB8",0.0911009016262594,0.614116265622038
"51","ABCB9",0.0983781159612925,0.585978712976548
"52","ABCC1",0.0205237384140117,0.909740685162777
"53","ABCC10",0.0508621876492908,0.778636076102561
"54","ABCC11",-0.0503845179124713,0.780664169155219
"55","ABCC12",0.192234548897395,0.283828323708648
"56","ABCC2",-0.0924001227066113,0.609051425781868
"57","ABCC3",0.146453792967086,0.416061956789101
"58","ABCC4",-0.0283642786314879,0.875489976144841
"59","ABCC5",-0.112307045803686,0.533775970030502
"60","ABCC6",0.258437916142798,0.146454082978888
"61","ABCC8",0.0402562313401863,0.823981000949425
"62","ABCC9",-0.0581914049646611,0.747704646671978
"63","ABCD1",0.215854737658732,0.227638322705549
"64","ABCD2",-0.113982351381854,0.527651396650034
"65","ABCD3",0.0252537051640545,0.889055201311921
"66","ABCD4",0.19408424475406,0.279131874668375
"67","ABCE1",0.104620002201528,0.56230813812847
"68","ABCF1",0.340714264863082,0.052344949436939
"69","ABCF2",0.248291650206537,0.16354128516817
"70","ABCF3",0.0886093643573976,0.623878152887952
"71","ABCG1",0.223852471975875,0.210454705142776
