,gene_symbol,pearson,P_value
85,ABHD15,0.211615358,0.237121854
86,ABHD16A,-0.027351586,0.879902705
87,ABHD16B,0.034145537,0.850372858
88,ABHD17A,0.202730689,0.257847814
89,ABHD17B,-0.15767825,0.38083043
90,ABHD17C,0.229687934,0.198494346
91,ABHD18,0.190095172,0.289323337
92,ABHD2,0.136226243,0.449696959
93,ABHD3,0.226959664,0.204025988
94,ABHD4,0.116453063,0.518681605
95,ABHD5,-0.309307264,0.079848887
96,ABHD6,0.000627581,0.997234409
97,ABHD8,0.08063331,0.655546444
98,ABI1,-0.15301856,0.395239491
99,ABI2,0.520550187,0.001898899
100,ABI3,0.168128776,0.349650856
101,ABI3BP,-0.005979312,0.973655175
102,ABL1,0.019027136,0.916298532
103,ABL2,-0.056473724,0.754921149
104,ABLIM1,-0.07068669,0.695873701
105,ABLIM2,0.260578795,0.143021103
106,ABLIM3,0.065553792,0.71701735
107,ABO,-0.109950804,0.542447264
108,ABR,-0.024909565,0.890557967
109,ABRA,-0.125380634,0.486907331
110,ABRACL,0.122787645,0.496031752
111,ABRAXAS1,0.014187816,0.937538519
112,ABRAXAS2,0.014229754,0.937354247
113,ABT1,0.253061663,0.155338592
114,ABTB1,0.092060125,0.610375156
115,ABTB2,0.009663004,0.957436698
116,ACAA1,-0.171218664,0.340736154
117,ACAA2,-0.049685003,0.783636731
118,ACACA,-0.336334218,0.055649853
119,ACACB,0.049882965,0.782795194
120,ACAD10,0.245444181,0.168583366
121,ACAD11,0.111569619,0.536482627
122,ACAD8,-0.351943239,0.044581353
123,ACAD9,0.00263286,0.988398013
124,ACADL,0.208311543,0.244693986
125,ACADM,0.017434759,0.923281986
126,ACADS,-0.02811072,0.876594497
127,ACADSB,-0.020637808,0.909241089
128,ACADVL,-0.319746284,0.069688214
129,ACAN,0.156724405,0.383754731
130,ACAP1,0.241255576,0.176200263
131,ACAP2,0.510221362,0.002417304
132,ACAP3,0.17619103,0.326683946
133,ACAT1,-0.452108615,0.008255062
134,ACAT2,-0.156055511,0.385813198
135,ACBD3,0.1838066,0.305867277
136,ACBD4,-0.068751622,0.703819353
137,ACBD5,-0.294351652,0.096354057
138,ACBD6,-0.160873412,0.371129912
139,ACBD7,0.170819292,0.341880536
140,ACCS,0.100582366,0.577569642
141,ACCSL,0.055224244,0.760183444
142,ACD,0.121468713,0.500705961
143,ACE,-0.621985983,0.000111474
144,ACE2,-0.541599138,0.001133474
145,ACER1,-0.326211434,0.063920553
146,ACER2,-0.097912962,0.58776012
147,ACER3,-0.017718349,0.92203786
148,ACHE,-0.119455617,0.507882782
149,ACIN1,0.483154972,0.00439691
150,ACKR1,0.345126578,0.049175344
151,ACKR2,-0.063429138,0.725831075
152,ACKR3,-0.062231738,0.730813592
153,ACKR4,0.107973144,0.549776457
154,ACLY,-0.273968609,0.122870887
155,ACMSD,0.245503245,0.168477666
